restaurant_id,master_business_id,name,business_status,address,city,website,geometry_location_lat,geometry_location_lng,geometry_viewport_northeast_lat,geometry_viewport_northeast_lng,geometry_viewport_southwest_lat,geometry_viewport_southwest_lng,opening_hours_open_now,place_id,plus_code_compound_code,plus_code_global_code,price_level,rating,reference,types,user_ratings_total,normalized_name,is_active,created_at
145,53,Dolo Crepes,OPERATIONAL,"1158 King Rd #24, Burlington, ON L7T 0C5, Canada", Burlington,https://dolocrepes.ca/,43.32463,-79.8389,43.32598,-79.8376,43.32328,-79.8403,f,ChIJme8-9i2dLIgRC6HBgsPJZ50,"85F6+VC Burlington, Ontario",87M285F6+VC,NULL,5,ChIJme8-9i2dLIgRC6HBgsPJZ50,meal_takeaway,13,dolo crepes,t,2024-12-31 05:24:02.430216
146,380,MightyBird (Appleby Line),OPERATIONAL,"2465 Appleby Line unit D1A, Burlington, ON L7L 0B6, Canada", Burlington,"NULL",43.40574,-79.8056,43.40716,-79.8044,43.40446,-79.8071,f,ChIJd74CuXxhK4gRyMsvrV9PRPs,"C54V+7P Burlington, Ontario",87M2C54V+7P,NULL,4.7,ChIJd74CuXxhK4gRyMsvrV9PRPs,restaurant,233,mightybird (appleby line),t,2024-12-31 05:24:02.473332
147,166,Desi Mandi,OPERATIONAL,"1515 N Service Rd, Burlington, ON L7P 5C7, Canada", Burlington,"NULL",43.346,-79.8189,43.34731,-79.8175,43.34461,-79.8202,f,ChIJB2O7pu1hK4gRQ7MiHuSjbVM,"85WJ+9C Burlington, Ontario",87M285WJ+9C,NULL,4,ChIJB2O7pu1hK4gRQ7MiHuSjbVM,grocery_or_supermarket,690,desi mandi,t,2024-12-31 05:24:02.513648
148,360,Snack Express,OPERATIONAL,"2430 Fairview St, Burlington, ON L7R 2E4, Canada", Burlington,"NULL",43.34647,-79.7977,43.34782,-79.7964,43.34512,-79.7991,f,ChIJF2LBDcVhK4gRQf5fnIhCEWM,"86W2+HW Burlington, Ontario",87M286W2+HW,NULL,5,ChIJF2LBDcVhK4gRQf5fnIhCEWM,meal_takeaway,2,snack express,t,2024-12-31 05:24:02.553131
149,643,Lena's Roti & Doubles,OPERATIONAL,"460 Brant St #1, Burlington, ON L7R 4B6, Canada", Burlington,"NULL",43.32665,-79.7995,43.32804,-79.7981,43.32534,-79.8008,f,ChIJ25zYIM6fLIgRPKHvJNmPaqs,"86G2+M6 Burlington, Ontario",87M286G2+M6,NULL,4.6,ChIJ25zYIM6fLIgRPKHvJNmPaqs,restaurant,155,lena's roti & doubles,t,2024-12-31 05:24:02.592143
150,808,Kapadokya Kebab House,OPERATIONAL,"814 Brant St, Burlington, ON L7R 2J5, Canada", Burlington,"NULL",43.33404,-79.8108,43.33544,-79.8094,43.33274,-79.8121,f,ChIJdQG-ygifLIgR97ilAZK0ZUY,"85MQ+JM Burlington, Ontario",87M285MQ+JM,NULL,4.6,ChIJdQG-ygifLIgR97ilAZK0ZUY,restaurant,439,kapadokya kebab house,t,2024-12-31 05:24:02.632379
151,277,The Hood,OPERATIONAL,"2049 Pine St, Burlington, ON L7R 1E9, Canada", Burlington,"NULL",43.32634,-79.7952,43.32762,-79.7937,43.32492,-79.7964,f,ChIJMXzGQF6fLIgRYeAzYoBujkI,"86G3+GW Burlington, Ontario",87M286G3+GW,NULL,4.6,ChIJMXzGQF6fLIgRYeAzYoBujkI,restaurant,102,the hood,t,2024-12-31 05:24:02.670691
152,457,Soul Mate in a Plate,OPERATIONAL,"3056 Autumn Hill Crescent, Burlington, ON L7M 1Y5, Canada", Burlington,"NULL",43.37673,-79.8361,43.37801,-79.8349,43.37531,-79.8376,f,ChIJPbmhcaBjK4gR4_lq3UZ7jsc,"95G7+MH Burlington, Ontario",87M295G7+MH,NULL,NULL,ChIJPbmhcaBjK4gR4_lq3UZ7jsc,restaurant,NULL,soul mate in a plate,t,2024-12-31 05:24:02.708922
153,763,Samir Kabab House,OPERATIONAL,"699 Guelph Line, Burlington, ON L7R 3M7, Canada", Burlington,"NULL",43.34481,-79.7934,43.3461,-79.7921,43.3434,-79.7948,f,ChIJBRF98xFhK4gR7MQd-u-bFb4,"86V4+WJ Burlington, Ontario",87M286V4+WJ,NULL,4.4,ChIJBRF98xFhK4gR7MQd-u-bFb4,restaurant,274,samir kabab house,t,2024-12-31 05:24:02.747241
154,49,Taste of Accra,OPERATIONAL,"4391 Millcroft Park Dr, Burlington, ON L7M 4Y7, Canada", Burlington,"NULL",43.3995,-79.8117,43.40094,-79.8103,43.39824,-79.813,f,ChIJDRxnZephK4gRyRxJ5DyMSys,"95XQ+Q8 Burlington, Ontario",87M295XQ+Q8,NULL,5,ChIJDRxnZephK4gRyRxJ5DyMSys,restaurant,4,taste of accra,t,2024-12-31 05:24:02.786602
155,344,Joe's African & Caribbean Market Inc.,OPERATIONAL,"2388 Fairview St Unit 3, Burlington, ON L7R 2E4, Canada", Burlington,"NULL",43.34506,-79.7998,43.34646,-79.7985,43.34376,-79.8012,f,ChIJDzz8MgSfLIgRQUEUhcr44Xg,"86W2+23 Burlington, Ontario",87M286W2+23,NULL,4.5,ChIJDzz8MgSfLIgRQUEUhcr44Xg,grocery_or_supermarket,53,joe's african & caribbean market inc.,t,2024-12-31 05:24:02.83024
156,640,Sammy's Donair,OPERATIONAL,"453 Guelph Line, Burlington, ON L7R 3L8, Canada", Burlington,"NULL",43.33954,-79.7846,43.34082,-79.7833,43.33812,-79.786,f,ChIJucdBTdNhK4gRx-O0cEZ0SLM,"86Q8+R5 Burlington, Ontario",87M286Q8+R5,NULL,4.3,ChIJucdBTdNhK4gRx-O0cEZ0SLM,restaurant,556,sammy's donair,t,2024-12-31 05:24:02.868277
157,222,Arabian Pita,OPERATIONAL,"1900 Walkers Line, Burlington, ON L7M 4W5, Canada", Burlington,"NULL",43.37834,-79.8056,43.3797,-79.8043,43.377,-79.807,f,ChIJGwN9tTthK4gRgUNL1HV2WPA,"95HV+8Q Burlington, Ontario",87M295HV+8Q,NULL,5,ChIJGwN9tTthK4gRgUNL1HV2WPA,restaurant,140,arabian pita,t,2024-12-31 05:24:02.906999
158,127,KABOB LOUNGE,OPERATIONAL,"1400 Plains Rd E, Burlington, ON L7R 3P8, Canada", Burlington,"NULL",43.33689,-79.8179,43.33819,-79.8166,43.33549,-79.8193,f,ChIJXVBrBe2fLIgReOS8DByxTR8,"85PJ+QR Burlington, Ontario",87M285PJ+QR,NULL,4.9,ChIJXVBrBe2fLIgReOS8DByxTR8,restaurant,40,kabob lounge,t,2024-12-31 05:24:02.949158
159,633,Brazilian Bakery & Pizza,OPERATIONAL,"45 Winn St, Burlington, MA 01803, United States", Burlington,"NULL",42.49201,-71.1755,42.49344,-71.174,42.49074,-71.1767,f,ChIJ-6RN6_N144kRixXYuRzLxfk,"FRRF+RQ Burlington, Massachusetts, USA",87JCFRRF+RQ,NULL,4.2,ChIJ-6RN6_N144kRixXYuRzLxfk,restaurant,83,brazilian bakery & pizza,t,2024-12-31 05:24:02.989178
160,287,Hawaiiowan Cafe,OPERATIONAL,"208 N 4th St, Burlington, IA 52601, United States", Burlington,"NULL",40.80961,-91.1039,40.81097,-91.1026,40.80828,-91.1053,f,ChIJVUDlrcsx4YcRtgeQIYPgZIk,"RV5W+RF Burlington, Iowa, USA",86GCRV5W+RF,NULL,4.7,ChIJVUDlrcsx4YcRtgeQIYPgZIk,restaurant,56,hawaiiowan cafe,t,2024-12-31 05:24:03.027032
161,110,Kelly Greens,OPERATIONAL,"1326 Brant St, Burlington, ON L7P 1X7, Canada", Burlington,https://www.kelly-greens.ca/,43.34512,-79.8282,43.34658,-79.8267,43.34388,-79.8294,f,ChIJqYklKEBhK4gRqGN18yAp7tM,"85WC+2P Burlington, Ontario",87M285WC+2P,NULL,4.9,ChIJqYklKEBhK4gRqGN18yAp7tM,meal_takeaway,80,kelly greens,t,2024-12-31 05:24:03.064804
162,55,LOUISIANA CHICKEN,OPERATIONAL,"1160 King Rd, Burlington, ON L7T 3L7, Canada", Burlington,"NULL",43.32452,-79.8383,43.32615,-79.8365,43.32345,-79.8392,f,ChIJbU0EX7edLIgRS71J0-p9eMY,"85F6+RM Burlington, Ontario",87M285F6+RM,NULL,NULL,ChIJbU0EX7edLIgRS71J0-p9eMY,restaurant,NULL,louisiana chicken,t,2024-12-31 05:24:03.102263
