deal_id,restaurant_id,title,description,price,day_of_week,category,second_category,start_time,end_time,is_approved,is_promoted,promoted_until,created_by,created_at,updated_at,price_per_wing,deal_type,category_details,price_type,flat_price,percentage_discount,promotion_tier
120,976,Deal 150,Roast,18.00,Sunday,Food,,16:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.792526,2024-12-31 22:41:18.664849,NULL,flat,NULL,fixed,18.00,NULL,0
118,976,Deal 148,Fish,12.00,Friday,Fish and Chips,,16:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.710485,2024-12-31 22:41:20.856562,NULL,flat,NULL,fixed,12.00,NULL,0
117,976,Deal 147,Wings & Whistle,7.00,Tuesday,Drinks,Beer,16:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.671729,2024-12-31 22:41:21.925507,NULL,flat,NULL,fixed,7.00,NULL,0
115,976,Deal 145,Burgers,14.00,Wednesday,Burgers,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.594599,2024-12-31 22:41:24.215965,NULL,flat,NULL,fixed,14.00,NULL,0
114,976,Deal 144,Burgers,11.00,Tuesday,Burgers,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.556116,2024-12-31 22:41:25.149036,NULL,flat,NULL,fixed,11.00,NULL,0
167,858,Fajita Night,25% off all sizzling fajitas + 1 LB Wings & Domestic Tall Boy,0.00,Thursday,Combos,Food,NULL,NULL,t,f,NULL,1,2025-01-06 22:25:36.640861,2025-01-07 06:13:00.74548,NULL,percentage,Sizzlin’ Fajitas,percentage,NULL,25.00,0
113,976,Deal 143,Burger & Beer,17.70,Monday,Combos,,16:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.51729,2024-12-31 22:41:26.199489,NULL,flat,NULL,fixed,17.70,NULL,0
111,976,Deal 141,Industry Night,6.00,Monday,Drinks,Wine,21:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.4384,2024-12-31 22:41:27.227841,NULL,flat,NULL,fixed,6.00,NULL,0
106,869,Deal 136,Donate $5 and get 3 Free Kids Meals,5.00,Thursday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.2409,2024-12-31 22:41:28.234218,NULL,flat,NULL,fixed,5.00,NULL,0
105,869,Deal 135,Donate $5 and get 3 Free Kids Meals,5.00,Wednesday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.18988,2024-12-31 22:41:29.258236,NULL,flat,NULL,fixed,5.00,NULL,0
104,869,Deal 134,Donate $5 and get 3 Free Kids Meals,5.00,Tuesday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.152067,2024-12-31 22:41:30.19598,NULL,flat,NULL,fixed,5.00,NULL,0
103,869,Deal 133,Donate $5 and get 3 Free Kids Meals,5.00,Monday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.112653,2024-12-31 22:41:31.17392,NULL,flat,NULL,fixed,5.00,NULL,0
99,869,Deal 129,Date Night Dinner for Two,55.00,Tuesday,Combos,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.958139,2024-12-31 22:41:33.960597,NULL,flat,NULL,fixed,55.00,NULL,0
98,679,Deal 127,Weekend Breakfast Special - Bacon and Egg on a Bagel,10.99,Sunday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.921694,2024-12-31 22:41:34.932162,NULL,flat,NULL,fixed,10.99,NULL,0
97,679,Deal 126,Weekend Breakfast Special - Bacon and Egg on a Bagel,10.99,Saturday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.870042,2024-12-31 22:41:35.913715,NULL,flat,NULL,fixed,10.99,NULL,0
96,679,Deal 125,Friday Lunch Special - Tuna Salad,15.49,Friday,Lunch,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.831303,2024-12-31 22:41:36.857939,NULL,flat,NULL,fixed,15.49,NULL,0
93,679,Deal 122,Thursday Breakfast Special - Bacon & Egg,10.99,Thursday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.713865,2024-12-31 22:43:45.651826,NULL,flat,NULL,fixed,10.99,NULL,0
91,679,Deal 120,Wednesday Breakfast Special - Western,10.99,Wednesday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.635827,2024-12-31 22:43:47.729524,NULL,flat,NULL,fixed,10.99,NULL,0
90,679,Deal 119,Tuesday Lunch Special - Egg Salad,15.49,Tuesday,Lunch,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.59764,2024-12-31 22:43:51.76989,NULL,flat,NULL,fixed,15.49,NULL,0
89,679,Deal 118,Tuesday Breakfast Special - BLT,10.99,Tuesday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.552048,2024-12-31 22:43:52.691569,NULL,flat,NULL,fixed,10.99,NULL,0
87,679,Deal 116,Monday Breakfast Special - Sausage & Egg,10.99,Monday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.476879,2024-12-31 22:43:54.71867,NULL,flat,NULL,fixed,10.99,NULL,0
86,954,Deal 115,Cookie Combo,4.00,Thursday,Combos,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.438961,2024-12-31 22:43:55.814266,NULL,flat,NULL,fixed,4.00,NULL,0
83,299,Deal 112,BBQ Philly Burger,13.99,Friday,Burgers,,11:00:00,14:00:00,t,f,NULL,NULL,2024-12-31 05:24:48.312565,2024-12-31 22:43:59.080476,NULL,flat,NULL,fixed,13.99,NULL,0
82,299,Deal 111,Loaded Mushroom Burger,13.99,Thursday,Burgers,,11:00:00,14:00:00,t,f,NULL,NULL,2024-12-31 05:24:48.274002,2025-01-01 16:21:32.973406,NULL,flat,NULL,fixed,13.99,NULL,0
80,299,Deal 109,California Burger,13.99,Tuesday,Burgers,,11:00:00,14:00:00,t,f,NULL,NULL,2024-12-31 05:24:48.195851,2025-01-01 16:21:37.033844,NULL,flat,NULL,fixed,13.99,NULL,0
79,299,Deal 108,Bacon Cheddar Jalapeno Ranch Burger,13.99,Monday,Burgers,,11:00:00,14:00:00,t,f,NULL,NULL,2024-12-31 05:24:48.154479,2025-01-01 16:21:38.22475,NULL,flat,NULL,fixed,13.99,NULL,0
78,299,Deal 107,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Sunday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.115443,2025-01-01 16:21:39.198479,NULL,flat,NULL,fixed,6.99,NULL,0
77,299,Deal 106,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Saturday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.069831,2025-01-01 16:21:40.21492,NULL,flat,NULL,fixed,6.99,NULL,0
76,299,Deal 105,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Friday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.032916,2025-01-01 16:21:41.209656,NULL,flat,NULL,fixed,6.99,NULL,0
75,299,Deal 104,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Thursday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.982648,2025-01-01 16:21:42.17421,NULL,flat,NULL,fixed,6.99,NULL,0
74,299,Deal 103,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Wednesday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.942219,2025-01-01 16:21:43.138498,NULL,flat,NULL,fixed,6.99,NULL,0
73,299,Deal 102,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Tuesday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.897854,2025-01-01 16:21:44.104401,NULL,flat,NULL,fixed,6.99,NULL,0
72,299,Deal 101,"Breakfast Special Bacon Eggs, Homefries and Toast",6.99,Monday,Breakfast,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.861337,2025-01-01 16:21:45.089433,NULL,flat,NULL,fixed,6.99,NULL,0
84,954,Deal 113,Pizza Party,0.00,Tuesday,Pizza,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.352668,2024-12-31 22:43:57.909958,NULL,flat,NULL,fixed,0.00,NULL,0
4,855,Deal 4,Wing Night $.99,8.91,Sunday,Wings,,16:00:00,00:00:00,t,f,NULL,NULL,2024-12-31 05:24:45.172242,2024-12-31 22:43:37.560782,0.99,flat,NULL,fixed,8.91,NULL,0
127,845,Deal 157,Wings & Whistle,9.00,Tuesday,Wings,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.075947,2024-12-31 22:41:11.224259,1.00,flat,NULL,fixed,9.00,NULL,0
85,954,Deal 114,BOGO Snacks,0.00,Wednesday,Snacks,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:48.392113,2024-12-31 22:43:56.825086,NULL,flat,NULL,fixed,0.00,NULL,0
129,845,Deal 159,Thirsty,0.00,Thursday,Drinks,Wine,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.156084,2024-12-31 22:41:08.976082,NULL,flat,NULL,fixed,0.00,NULL,0
19,399,Deal 19,All Wine 9oz For 6oz Price,0.00,Wednesday,Drinks,Wine,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.765238,2025-01-01 17:37:41.884045,NULL,flat,NULL,fixed,0.00,NULL,0
53,859,Deal 54,Pasta Feature $20,20.00,Wednesday,Pasta,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.092605,2025-01-01 16:22:00.177404,NULL,flat,NULL,fixed,20.00,NULL,0
52,859,Deal 53,$8 Import Draught,8.00,Tuesday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:47.054793,2025-01-01 16:22:01.074079,NULL,flat,NULL,fixed,8.00,NULL,0
50,859,Deal 51,Domestic Pints $6,6.00,Monday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:46.97859,2025-01-01 16:22:02.813698,NULL,flat,NULL,fixed,6.00,NULL,0
49,859,Deal 50,Pot Pie & Domestic Pint $22,22.00,Monday,Combos,Drinks,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:46.940446,2025-01-01 16:22:03.796228,NULL,flat,NULL,fixed,22.00,NULL,0
112,976,Deal 142,Industry Night,6.00,Monday,Drinks,Beer,21:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.477288,2024-12-31 17:32:02.717966,NULL,flat,NULL,fixed,6.00,NULL,0
107,869,Deal 137,Donate $5 and get 3 Free Kids Meals,5.00,Friday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.28609,2024-12-31 17:32:09.572917,NULL,flat,NULL,fixed,5.00,NULL,0
