"id","name","business_status","formatted_address","city","website","geometry_location_lat","geometry_location_lng","geometry_viewport_northeast_lat","geometry_viewport_northeast_lng","geometry_viewport_southwest_lat","geometry_viewport_southwest_lng","opening_hours_open_now","place_id","plus_code_compound_code","plus_code_global_code","price_level","rating","reference","types","user_ratings_total","normalized_name","master_business_id"
522,"Concordia Club","OPERATIONAL","429 Ottawa St S, Kitchener, ON N2M 3P6, Canada"," Kitchener",NULL,"43.43053000","-80.47820000","43.43238000","-80.47740000","43.42968000","-80.48030000",False,"ChIJJehNzh_1K4gR6kWbo3M1PVI","CGJC+5Q Kitchener, Ontario","86MXCGJC+5Q",2,"4.5","ChIJJehNzh_1K4gR6kWbo3M1PVI","restaurant",1418,"concordia club",612
523,"Veslo Family Restaurant","OPERATIONAL","100 Arnold St, Kitchener, ON N2H 6C9, Canada"," Kitchener",NULL,"43.46775000","-80.48500000","43.46904000","-80.48350000","43.46634000","-80.48620000",False,"ChIJoYgFW5z0K4gR2HFwiqIeqqo","FG98+42 Kitchener, Ontario","86MXFG98+42",2,"4.8","ChIJoYgFW5z0K4gR2HFwiqIeqqo","restaurant",895,"veslo family restaurant",8
524,"Edelweiss Tavern","OPERATIONAL","600 Doon Village Rd, Kitchener, ON N2P 1G6, Canada"," Kitchener",NULL,"43.39847000","-80.44620000","43.39984000","-80.44490000","43.39714000","-80.44760000",False,"ChIJNUQH_a6KK4gRNgyC6c0YGqc","9HX3+CF Kitchener, Ontario","86MX9HX3+CF",2,"4.3","ChIJNUQH_a6KK4gRNgyC6c0YGqc","restaurant",1465,"edelweiss tavern",721
525,"Lisboa Bakery & Grill","OPERATIONAL","1187 Fischer-Hallman Rd, Kitchener, ON N2E 4H9, Canada"," Kitchener",NULL,"43.40564000","-80.50220000","43.40707000","-80.50080000","43.40437000","-80.50350000",True,"ChIJKx1PE531K4gR5BfiBDlfiqw","CF4X+74 Kitchener, Ontario","86MXCF4X+74",2,"4.3","ChIJKx1PE531K4gR5BfiBDlfiqw","meal_delivery",700,"lisboa bakery & grill",62
526,"Malay Thai Kitchen","OPERATIONAL","8800 New Falls Rd, Levittown, PA 19054, United States"," Levittown",NULL,"40.17417000","-74.83060000","40.17551000","-74.82930000","40.17281000","-74.83200000",False,"ChIJ-xSqmOVRwYkRCzXQojs2kRc","55F9+MQ Levittown, Pennsylvania, USA","87G755F9+MQ",2,"4.8","ChIJ-xSqmOVRwYkRCzXQojs2kRc","meal_delivery",534,"malay thai kitchen",818
527,"Booster Juice","OPERATIONAL","6921 Derry Rd, Milton, ON L9T 7H5, Canada"," Milton",NULL,"43.49691000","-79.87290000","43.49820000","-79.87160000","43.49550000","-79.87430000",False,"ChIJ-zs85H5vK4gRCzS2P143yt4","F4WG+QR Milton, Ontario","87M2F4WG+QR",2,"3.4","ChIJ-zs85H5vK4gRCzS2P143yt4","food",165,"booster juice",71
528,"Troy's Diner Inc","OPERATIONAL","295 Main St E, Milton, ON L9T 1P1, Canada"," Milton",NULL,"43.51505000","-79.88140000","43.51656000","-79.87990000","43.51386000","-79.88260000",True,"ChIJMRRwPaJvK4gR3QzouLB6QTQ","G489+2C Milton, Ontario","87M2G489+2C",2,"4.4","ChIJMRRwPaJvK4gR3QzouLB6QTQ","restaurant",1286,"troy's diner inc",434
529,"Wimpyâ€™s Diner","OPERATIONAL","8473 Regional Rd 25, Milton, ON L9T 2X7, Canada"," Milton",NULL,"43.53304000","-79.91120000","43.53437000","-79.91000000","43.53167000","-79.91270000",True,"ChIJvV1ZR_BvK4gRbwJpnaHNw0E","G3MQ+6G Milton, Ontario","87M2G3MQ+6G",2,"4.6","ChIJvV1ZR_BvK4gRbwJpnaHNw0E","restaurant",822,"wimpyâ€™s diner",815
530,"Grill Daddy","OPERATIONAL","136 Main St E, Milton, ON L9T 1N6, Canada"," Milton",NULL,"43.51143000","-79.88470000","43.51285000","-79.88340000","43.51015000","-79.88610000",True,"ChIJBb8WvZFvK4gRIjMVoAtRFjA","G468+H4 Milton, Ontario","87M2G468+H4",2,"4.5","ChIJBb8WvZFvK4gRIjMVoAtRFjA","restaurant",854,"grill daddy",118
531,"Daata Grill","OPERATIONAL","585 Ontario St S Unit 14, Milton, ON L9T 2N2, Canada"," Milton",NULL,"43.50818000","-79.86080000","43.50947000","-79.85930000","43.50677000","-79.86200000",False,"ChIJveLQV89vK4gRMfpoHOUo_fg","G45Q+7M Milton, Ontario","87M2G45Q+7M",2,"4.4","ChIJveLQV89vK4gRMfpoHOUo_fg","meal_takeaway",2028,"daata grill",716
